Key,English,French
PROPMOVER_TXT_000928,General Bearnerky,Général Bearnerky
PROPMOVER_TXT_000930,Great Chef Muffrin,Grand Chef Muffrin
PROPMOVER_TXT_000932,Queen Popcrank,Roi Joker
PROPMOVER_TXT_000934,Baby Polar Bear,Jeune Ours Polaire
PROPMOVER_TXT_000936,Polar Bear,Ours Polaire
PROPMOVER_TXT_000946,Post Box,Boîte aux lettres
PROPMOVER_TXT_000950,Blue Meteonyker,Blue Meteonyker
PROPMOVER_TXT_000954,Baby Penguin,Bébé Pingouin
PROPMOVER_TXT_000956,Baby Iguana,Bébé Iguane
PROPMOVER_TXT_000958,Baby Cobra,Bébé Cobra
PROPMOVER_TXT_000960,Egg,Oeuf
PROPMOVER_TXT_000962,White Tiger,Jeune Smilodon
PROPMOVER_TXT_000966,Babari Lion,Jeune Leonis
PROPMOVER_TXT_000970,Rabbit,Jeune Caerbannog
PROPMOVER_TXT_000974,Dragon,Jeune Bahamut
PROPMOVER_TXT_000978,Unicorn,Jeune Licorne
PROPMOVER_TXT_000982,Old Fox,Jeune Kitsune
PROPMOVER_TXT_000986,Griffin,Jeune Hippogryphe
PROPMOVER_TXT_000987,Angel,Ange
PROPMOVER_TXT_000988,King Crab,Roi Crabe
PROPMOVER_TXT_000996,Gambler,Parieur
PROPMOVER_TXT_000998,Hair Designer,Coiffeur
PROPMOVER_TXT_001000,Make-Up Artist,Maquilleur
PROPMOVER_TXT_001002,Pet Tamer,Eleveur de familiers
PROPMOVER_TXT_001010,Behemoth,Smilodon Bestial
PROPMOVER_TXT_001012,Hellion,Leonis Infernal
PROPMOVER_TXT_001014,Jackalope,Caerbannog Furieux
PROPMOVER_TXT_001016,Bahamut,Bahamut Indomptable
PROPMOVER_TXT_001018,Nightmare,Licorne Cauchemar
PROPMOVER_TXT_001020,Reinecke,Kitsune Sage
PROPMOVER_TXT_001022,Hippogryph,Hippogryphe Inébranlable
PROPMOVER_TXT_001024,Cute Frog,Grenouille
PROPMOVER_TXT_001026,Cute Hamburger,Hamburger Magique
PROPMOVER_TXT_001028,Baby Turtle,Tortue
PROPMOVER_TXT_001034,Baby Chicken,Coq
PROPMOVER_TXT_001036,Baby Cow,Vachette
PROPMOVER_TXT_001038,Baby Beagle,Chiot
PROPMOVER_TXT_001040,Baby Blue Dragon,Dragonnet
PROPMOVER_TXT_001042,Baby Hamster,Hamster
PROPMOVER_TXT_001044,Baby Horse,Poney
PROPMOVER_TXT_001046,Baby Monkey,Singe
PROPMOVER_TXT_001048,Baby Pig,Cochon
PROPMOVER_TXT_001050,Baby Rabbit,Lapin
PROPMOVER_TXT_001052,Cute Lamb,Agneau
PROPMOVER_TXT_001054,Baby Tiger,Tigron
PROPMOVER_TXT_001076,Small Maid Cardpuppet,Petite Puppet
PROPMOVER_TXT_001078,Small Mia,Petite Mia
PROPMOVER_TXT_001080,Baby Black Dragon,Dragonnet noir
PROPMOVER_TXT_001196,Baby Yetti,Bébé Yeti
PROPMOVER_TXT_001300,[Guildwar Manager] Frankie,[Intendant des Guerres de Guildes] Franky
PROPMOVER_TXT_001302,[Guildwar Manager] Donaris,[Intendant des Guerres de Guildes] Donaris
PROPMOVER_TXT_001304,[1vs1Guildwar Manager] Amos,[Chef de l'Arène de l'Apocalypse] Marco
PROPMOVER_TXT_001306,[1vs1Guildwar Manager] Annie,[Chef de l'Arène de l'Apocalypse] Bertha
PROPMOVER_TXT_001308,[Arena Manager] Lay,[Chef de l'Arène] Ray
PROPMOVER_TXT_001310,Mayor,Maire
PROPMOVER_TXT_001318,English Bulldog,Bébé Bulldog
PROPMOVER_TXT_001320,Naughty Ghost,Fantôme farceur
PROPMOVER_TXT_001322,Baby Fu Lion,Lion chinois
PROPMOVER_TXT_001324,Smart Owl,Maitre hibou
PROPMOVER_TXT_001326,Patches,Poupée Halloween
PROPMOVER_TXT_001328,Cute Robot,Robot d'Erons
PROPMOVER_TXT_001330,Baby Bang,Petit Bang
PROPMOVER_TXT_001332,Baby Panda,Bébé Panda
PROPMOVER_TXT_001334,Red Armored Tigar,Bébé Taiga
PROPMOVER_TXT_001336,Blue Armored Tigar,Bébé Taiga
PROPMOVER_TXT_001338,Yellow Armored Tigar,Bébé Taiga
PROPMOVER_TXT_001446,Tommy Toucan,Bébé Perroquet
PROPMOVER_TXT_001452,Johnny Four-Wheels,Auto Bot
PROPMOVER_TXT_001460,Tiny Tanuki,Tanuki courageux
PROPMOVER_TXT_001466,Inisis,Inisis
PROPMOVER_TXT_001496,Mini Santa,Père noël
PROPMOVER_TXT_001498,Mini Snowman,Bonhomme de neige
PROPMOVER_TXT_001504,Little Lykan,Bébé Mordillos
PROPMOVER_TXT_001554,Joey,Bébé Fenek
PROPMOVER_TXT_001556,Spike,Bébé Doberman
PROPMOVER_TXT_001558,Lumia,Esprit d'Azria
PROPMOVER_TXT_001560,Inspector Koko,Dr. Koatson
PROPMOVER_TXT_001564,Cheshire Cat,Chat du Cheshire
PROPMOVER_TXT_001566,The White Rabbit,Lapin Blanc
PROPMOVER_TXT_001568,Tiger Cub,Dinah
PROPMOVER_TXT_001586,Bone Golem,Dagyde vaudou
PROPMOVER_TXT_001588,Mocomochi,Bébé Mochikochi
PROPMOVER_TXT_001590,Soul Dancer,James Blue
PROPMOVER_TXT_001592,Clockworks Butler,Mécano-serveur
PROPMOVER_TXT_001628,[Village Chief] Huntrang,Huntran
PROPMOVER_TXT_001630,[Quest Office] Miorang,Mioran
PROPMOVER_TXT_001654,[Crackshooter Master] Meiarun,Meiarun
PROPMOVER_TXT_001656,[Arcanist Master] Howrang,Howran
PROPMOVER_TXT_001680,Cheirang,Cheiran
PROPMOVER_TXT_001714,[Rock Scissor Paper NPC] Demian,[Champion de Flyffoumi] Démian
PROPMOVER_TXT_001716,Chameleon,Bébé Caméléon
PROPMOVER_TXT_001804,Braaaaains,Zombie
PROPMOVER_TXT_001814,Male Zombie,Zombie pourrissant
PROPMOVER_TXT_001816,Female Zombie ,Zombie pourrissante
PROPMOVER_TXT_001826,Big Red,Petit Pang rouge
PROPMOVER_TXT_002000,Buur,Plume
PROPMOVER_TXT_002002,Saphyryan,Croc Hunter
PROPMOVER_TXT_002004,Gray Earl,Ecthéplasme
PROPMOVER_TXT_002006,Jack Frost,Coussinet
PROPMOVER_TXT_002008,Mr. Grinchie,Grinch
PROPMOVER_TXT_002010,Rudolph,Cage de Rudolf
PROPMOVER_TXT_002020,[Development Supervisor] Kim,[PDG-roi des Hipsters] Cyprien le mégalomane
PROPMOVER_TXT_002026,Kuma,Bébé Nounours
PROPMOVER_TXT_002034,Usagi,Bébé Pan
PROPMOVER_TXT_002036,Cooperative Donation NPC,Collecteur des contributions
PROPMOVER_TXT_002038,X900 EvilTron,Ramassator
PROPMOVER_TXT_002040,Mister Grizz,Nounours trognon
PROPMOVER_TXT_002162,Lil' Potato,Patate apprivoisée
PROPMOVER_TXT_002166,Friendly Baby Kargo,Dragoméro apprivoisé
PROPMOVER_TXT_002170,Charming Babushka Doll,Poupée russe
PROPMOVER_TXT_002232,Cute Baby Cat,Mordilla
PROPMOVER_TXT_002234,Little Muran,Chalise
PROPMOVER_TXT_002236,Baby Buur,Plume apprivoisé
PROPMOVER_TXT_002238,Baby Ripper,La mort aux trousses 
PROPMOVER_TXT_002240,Baby Gray Earl,Gray Earl courtois
PROPMOVER_TXT_002242,Tamed Bolo,Macoodoo Apprivoisé
PROPMOVER_TXT_002282,Pink Mocomochi Pet,Mochikochi Rose
PROPMOVER_TXT_002284,Rainbow Mocomochi Pet,Mochikochi Arc-en-ciel
PROPMOVER_TXT_002286,Black Bulldog Pet,Bulldog noir de compagnie
PROPMOVER_TXT_002288,Red Dragon Pet,Bébé dragon rouge
PROPMOVER_TXT_002292,Blue Snowman Pet,Bonhomme de neige bleue
PROPMOVER_TXT_002142,Reonan,Reonan
PROPMOVER_TXT_002144,Nerco,Nerco
PROPMOVER_TXT_002146,Hael,Hael
PROPMOVER_TXT_002148,Handel,Handel
PROPMOVER_TXT_002150,Reodos,Reodos
PROPMOVER_TXT_002152,Zoro,Zoro
PROPMOVER_TXT_002154,Elaine,Elaine
PROPMOVER_TXT_002156,Ainher,Ainher
PROPMOVER_TXT_002158,Sury,Sury
PROPMOVER_TXT_002230,Earl Vermelho,Ecthéplasme rooibos
PROPMOVER_TXT_100000,Small Gorruda,Jeune Gorruda
PROPMOVER_TXT_100001,Gorruda,Gorruda
PROPMOVER_TXT_100002,Captain Gorruda,Capitaine Gorruda
PROPMOVER_TXT_100003,Giant Gorruda,Géant Gorruda
PROPMOVER_TXT_100004,Young Fafnir,Jeune Fafnir
PROPMOVER_TXT_100005,Fafnir,Fafnir
PROPMOVER_TXT_100006,Grownup Fafnir,Captaine Fafnir
PROPMOVER_TXT_100007,Giant Fafnir,Géant Fafnir
PROPMOVER_TXT_100008,Small Longwing,Jeune Longwing
PROPMOVER_TXT_100009,Longwing,Longwing
PROPMOVER_TXT_100010,Captain Longwing,Capitaine Longwing
PROPMOVER_TXT_100011,Giant Longwing,Géant Longwing
PROPMOVER_TXT_100012,Neparuba,Jeune Neparuba
PROPMOVER_TXT_100013,Captain Neparuba,Neparuba
PROPMOVER_TXT_100014,Boss Neparuba,Capitaine Neparuba
PROPMOVER_TXT_100015,Giant Neparuba,Géant Neparuba
PROPMOVER_TXT_100016,Small Zenma,Jeune Zenma
PROPMOVER_TXT_100017,Zenma,Zenma
PROPMOVER_TXT_100018,Captain Zenma,Capitaine Zenma
PROPMOVER_TXT_100019,Giant Zenma,Géant Zenma
PROPMOVER_TXT_100020,Small Zendros,Jeune Zendros
PROPMOVER_TXT_100021,Zendros,Zendros
PROPMOVER_TXT_100022,Captain Zendros,Capitaine Zendros
PROPMOVER_TXT_100023,Giant Zendros,Géant Zendros
PROPMOVER_TXT_100024,Small Medumet,Jeune Medumet
PROPMOVER_TXT_100025,Medumet,Medumet
PROPMOVER_TXT_100026,Captain Medumet,Capitaine Medumet
PROPMOVER_TXT_100027,Giant Medumet,Géant Medumet
PROPMOVER_TXT_100028,Training Dummy,Mannequin d'Entraînement
PROPMOVER_TXT_100029,Fire Training Dummy,Mannequin d'Entraînement au Feu
PROPMOVER_TXT_100030,Water Training Dummy,Mannequin d'Entraînement à l'Eau
PROPMOVER_TXT_100031,Earth Training Dummy,Mannequin d'Entraînement à la Terre
PROPMOVER_TXT_100032,Electric Training Dummy,Mannequin d'Entraînement à l'Électricité
PROPMOVER_TXT_100033,Wind Training Dummy,Mannequin d'entraînement à l'air
PROPMOVER_TXT_100097,Violet Medumet,Medumet Pourpre
PROPMOVER_TXT_100063,Violet Leyena,Leyena Pourpre
PROPMOVER_TXT_100064,Violet Trangfoma,Trangforma Pourpre
PROPMOVER_TXT_100065,Violet Steam Walker,Steamwalker Pourpre
PROPMOVER_TXT_100068,Violet Steel Knight,Steelknight Pourpre
PROPMOVER_TXT_100069,Violet Nutty Wheel,Nuttywheel Pourpre
PROPMOVER_TXT_100066,Violet Driller,Driller Pourpre
PROPMOVER_TXT_100067,Violet Volt,Volt Pourpre
PROPMOVER_TXT_100070,Violet Elderguard,Elderguard Pourpre
PROPMOVER_TXT_100071,Violet Garbagespider,Garbagespider Pourpre
PROPMOVER_TXT_100072,Violet Crane Machinery,Cranechinery Pourpre
PROPMOVER_TXT_100074,Violet Greemong,Greemong Pourpre
PROPMOVER_TXT_100076,Violet Nuctuvehicle,Nuctuhicle Pourpre
PROPMOVER_TXT_100075,Violet Carrierbomb,Caboom Pourpre
PROPMOVER_TXT_100073,Violet Syliaca,Syliaca Pourpre
PROPMOVER_TXT_100078,Violet Zombiger,Zombiger Pourpre
PROPMOVER_TXT_100077,Violet Risem,Risem Pourpre
PROPMOVER_TXT_100086,Violet Grrr,Grrr Pourpre
PROPMOVER_TXT_100091,Violet Dump,Dump Pourpre
PROPMOVER_TXT_100085,Violet Nautrepy,Nautrepy Pourpre
PROPMOVER_TXT_100082,Violet Boo,Boo Pourpre
PROPMOVER_TXT_100079,Violet Hoppre,Hoppre Pourpre
PROPMOVER_TXT_100088,Violet Mushpoie,Mushpoie Pourpre
PROPMOVER_TXT_100081,Violet Iren,Iren Pourpre
PROPMOVER_TXT_100080,Violet Watangka,Watangka Pourpre
PROPMOVER_TXT_100087,Violet Antiquery,Tréant Pourpre
PROPMOVER_TXT_100083,Violet Luia,Luia Pourpre
PROPMOVER_TXT_100089,Violet Gongury,Gongury Pourpre
PROPMOVER_TXT_100084,Violet Shuhamma,Shuhamma Pourpre
PROPMOVER_TXT_100092,Violet Kern,Kern Pourpre
PROPMOVER_TXT_100090,Violet Glaphan,Glaphan Pourpre
PROPMOVER_TXT_100094,Violet Chimeradon,Kimeradon Pourpre
PROPMOVER_TXT_100095,Violet Bearnerky,Bearnerky Pourpre
PROPMOVER_TXT_100093,Violet Chef Muffrin,Chef Muffrin Pourpre
PROPMOVER_TXT_100096,Violet Popcrank,Joker Pourpre
PROPMOVER_TXT_100034,Violet Aibatt,Aibatt Pourpre
PROPMOVER_TXT_100035,Violet Mushpang,Mushpang Pourpre
PROPMOVER_TXT_100036,Violet Burudeng,Burudeng Pourpre
PROPMOVER_TXT_100038,Violet Pukepuke,Pukepuke Pourpre
PROPMOVER_TXT_100037,Violet Peakyturtle,Peakyturtle Pourpre
PROPMOVER_TXT_100039,Violet Demian,Démian Pourpre
PROPMOVER_TXT_100040,Violet Doridoma,Doridoma Pourpre
PROPMOVER_TXT_100041,Violet Lawolf,Lawolf Pourpre
PROPMOVER_TXT_100043,Violet Fefern,Fefern Pourpre
PROPMOVER_TXT_100042,Violet Nyangnyang,Nyangnyang Pourpre
PROPMOVER_TXT_100044,Violet Bang,Bang Pourpre
PROPMOVER_TXT_100099,Violet Mothbee,Mothbee Pourpre
PROPMOVER_TXT_100098,Violet Flybrigen,Flybrigen Pourpre
PROPMOVER_TXT_100100,Violet Rockepeller,Rockepeller Pourpre
PROPMOVER_TXT_100106,Violet Zendros,Zendros Pourpre
PROPMOVER_TXT_100104,Violet Neparuba,Neparuba Pourpre
PROPMOVER_TXT_100105,Violet Zenma,Zenma Pourpre
PROPMOVER_TXT_100103,Violet Longwing,Longwing Pourpre
PROPMOVER_TXT_100102,Violet Fafnir,Fafnir Pourpre
PROPMOVER_TXT_100101,Violet Gorruda,Gorruda Pourpre
PROPMOVER_TXT_100058,Violet Tombstone Bearer,Tombstone Pourpre
PROPMOVER_TXT_100060,Violet Scorpicon,Scorpio Pourpre
PROPMOVER_TXT_100059,Violet Basque,Bask Pourpre
PROPMOVER_TXT_100061,Violet Prankster,Prankster Pourpre
PROPMOVER_TXT_100062,Violet Wheelem,Wheelem Pourpre
PROPMOVER_TXT_100045,Violet Wagsaac,Wagsaac Pourpre
PROPMOVER_TXT_100047,Violet Mia,Mia Pourpre
PROPMOVER_TXT_100048,Violet Mr. Pumpkin,Pumpkin Pourpre
PROPMOVER_TXT_100049,Violet Red Mantis,Mantis Pourpre
PROPMOVER_TXT_100050,Violet Jack the Hammer,Jackhammer Pourpre
PROPMOVER_TXT_100051,Violet Giggle Box,Gigglebox Pourpre
PROPMOVER_TXT_100052,Violet Rock Muscle,Musclor Pourpre
PROPMOVER_TXT_100053,Violet Hobo,Hobo Pourpre
PROPMOVER_TXT_100055,Violet Dumb Bull,Dumbull Pourpre
PROPMOVER_TXT_100056,Violet Totemia,Totemia Pourpre
PROPMOVER_TXT_100057,Violet Cardpuppet,Puppet Pourpre
PROPMOVER_TXT_100046,Violet Flybat,Flybat Pourpre
PROPMOVER_TXT_100054,Violet Bucrow,Bucrow Pourpre
PROPMOVER_TXT_100107,Baby Pink Cobra,Bébé Cobra Rose
PROPMOVER_TXT_100108,Baby Giant Aibatt,Bébé Géant Aibatt
PROPMOVER_TXT_100109,Baby Glaphan,Bébé Glaphan
PROPMOVER_TXT_100110,Baby Longwing,Bébé Longwing
PROPMOVER_TXT_100111,Baby Saphyryan,Bébé Saphyryan
PROPMOVER_TXT_100112,Baby Mushpang,Bébé Mushpang
PROPMOVER_TXT_100113,Baby Wagsaac,Bébé Wagsaac
PROPMOVER_TXT_100114,Baby Steel Knight,Bébé Steelknight
PROPMOVER_TXT_100115,Baby Nautrepy,Bébé Nautrepy
PROPMOVER_TXT_100116,Small Meteonyker,Jeune Meteonyker
PROPMOVER_TXT_100117,Berserk Meteonyker,Meteonyker Berserk
PROPMOVER_TXT_100118,Cyclops X,Cyclope X
PROPMOVER_TXT_100119,Giant Cyclops X,Cyclope X Géant
PROPMOVER_TXT_100120,Katamaw,Katamaw
PROPMOVER_TXT_100121,Zefus,Zefus
PROPMOVER_TXT_100122,Gruntizer,Gruntizer
PROPMOVER_TXT_100123,Obnis,Obnis
PROPMOVER_TXT_100124,Airon,Airon
PROPMOVER_TXT_100125,Kumah,Kumah
PROPMOVER_TXT_100126,Haom,Haom
PROPMOVER_TXT_100127,Scorched Meteonyker,Meteonyker Roussi
PROPMOVER_TXT_100128,Red Meteonyker,Meteonyker Rouge
PROPMOVER_TXT_100129,Baby Zendros,Bébé Zendros
PROPMOVER_TXT_100130,Baby Dumb Bull,Bébé Dumbull
PROPMOVER_TXT_100131,Baby Bearnerky,Bébé Bearnerky
PROPMOVER_TXT_100132,Yetti,Yéti
PROPMOVER_TXT_100133,Mutant Yetti,Yéti Mutant
PROPMOVER_TXT_100134,Dark Yetti,Yéti Sombre
PROPMOVER_TXT_100135,Mad Yetti,Yéti Enragé
PROPMOVER_TXT_100136,Violet Yetti,Yéti Pourpre
PROPMOVER_TXT_100137,Augu,Augu
PROPMOVER_TXT_100138,Mutant Augu,Augu Mutant
PROPMOVER_TXT_100139,Ardent Augu,Augu Ardent
PROPMOVER_TXT_100140,Glacial Augu,Augu Glacial
PROPMOVER_TXT_100141,Violet Augu,Augu Pourpre
PROPMOVER_TXT_100142,Ghost of the Forgotten Prince,Fantôme d'un Prince Oublié
PROPMOVER_TXT_100143,Ghost of the Forgotten King,Fantôme d'un Roi Oublié
PROPMOVER_TXT_100144,Ghost of the Forgotten Emperor,Fantôme d'un Empereur Oublié
PROPMOVER_TXT_100145,Ghost of the Forgotten Overlord,Fantôme d'un Suzerain Oublié
PROPMOVER_TXT_100146,Violet Ghost of the Forgotten Monarch,Fantôme Pourpre d'un Monarque Oublié
PROPMOVER_TXT_100147,Mammoth,Mammouth
PROPMOVER_TXT_100148,Cannibal Mammoth,Mammouth Cannibal
PROPMOVER_TXT_100149,Ancient Mammoth,Mammouth Ancien
PROPMOVER_TXT_100150,Predator Mammoth,Mammouth Prédateur
PROPMOVER_TXT_100151,Violet Mammoth,Mammouth Pourpre
PROPMOVER_TXT_100152,Gigaka,Jizaka
PROPMOVER_TXT_100153,Mawrang,Mawran
PROPMOVER_TXT_100154,Miriun,Miriun
PROPMOVER_TXT_100155,Auxilior,Auxilior
PROPMOVER_TXT_100156,Blue Alien Octopus,Poulpe Alien Bleu
PROPMOVER_TXT_100157,Yellow Alien Octopus,Poulpe Alien Jaune
PROPMOVER_TXT_100158,Red Alien Octopus,Poulpe Alien Rouge
PROPMOVER_TXT_100159,White Alien Octopus,Poulpe Alien Blanc
PROPMOVER_TXT_100160,Green Alien Octopus,Poulpe Alien Vert
PROPMOVER_TXT_100161,Black Alien Octopus,Poulpe Alien Noir
PROPMOVER_TXT_100162,Baby Peakyturtle,Bébé Peakyturtle
PROPMOVER_TXT_100163,Baby Rock Muscle,Bébé Musclor
PROPMOVER_TXT_100164,Baby Giggle Box,Bébé Gigglebox
PROPMOVER_TXT_100165,Baby Totemia,Bébé Totemia
PROPMOVER_TXT_100166,Baby Fafnir,Bébé Fafnir
PROPMOVER_TXT_100167,Baby Popcrank,Bébé Joker
PROPMOVER_TXT_100168,Rookie Cloudberry Carrier,Porteur Novice de Plaquebière
PROPMOVER_TXT_100169,Cloudberry Carrier,Porteur de Plaquebière
PROPMOVER_TXT_100170,Lightberry Carrier,Porteur de Baie Lumineuse
PROPMOVER_TXT_100171,Rookie Exoberry Carrier,Porteur Novice de Baie Exotique
PROPMOVER_TXT_100172,Exoberry Carrier,Porteur de Baie Exotique
PROPMOVER_TXT_001068,Waforu,Charles
PROPMOVER_TXT_001069,Mysterious Robed Girl,Fille Mystérieuse
PROPMOVER_TXT_001442,Lasa,Lasa
PROPMOVER_TXT_100173,Baby Giant Bang,Bébé Géant Bang
PROPMOVER_TXT_100174,Baby Burudeng,Bébé Burudeng
PROPMOVER_TXT_100175,Baby Iren,Bébé Iren
PROPMOVER_TXT_100176,Baby Mushpoie,Bébé Mushpoie
PROPMOVER_TXT_100177,Baby Flybrigen,Bébé Flybrigen
PROPMOVER_TXT_100178,Baby Nuctuvehicle,Bébé Nuctuhicle
PROPMOVER_TXT_100179,Criminal Medumet,Medumet Criminel
PROPMOVER_TXT_100180,Crystal Iphrine,Cristal d'Iphrine
PROPMOVER_TXT_100181,Yellow Teddy Bear,Nounours Jaune
PROPMOVER_TXT_100182,Blue Teddy Bear,Nounours Bleu
PROPMOVER_TXT_100183,Brown Teddy Bear,Nounours Marron
PROPMOVER_TXT_100184,Orange Teddy Bear,Nounours Orange
PROPMOVER_TXT_100185,Black Teddy Bear,Nounours Noir
PROPMOVER_TXT_100186,White Teddy Bear,Nounours Blanc
PROPMOVER_TXT_100187,Baby Doridoma,Bébé Doridoma
PROPMOVER_TXT_100188,Baby Mothbee,Bébé Mothbee
PROPMOVER_TXT_100189,Baby Hobo,Bébé Hobo
PROPMOVER_TXT_100190,Primgon,Primgon
PROPMOVER_TXT_100191,Blue Gummy Bear,Ourson Gélifié Bleu
PROPMOVER_TXT_100192,Brown Gummy Bear,Ourson Gélifié Marron
PROPMOVER_TXT_100193,Pink Gummy Bear,Ourson Gélifié Rose
PROPMOVER_TXT_100194,Red Gummy Bear,Ourson Gélifié Rouge
PROPMOVER_TXT_100195,Black Gummy Bear,Ourson Gélifié Noir
PROPMOVER_TXT_100196,White Gummy Bear,Ourson Gélifié Blanc
PROPMOVER_TXT_100197,Baby Wild Rabbit,Bébé Lapin Sauvage
PROPMOVER_TXT_100198,Puppy,Chiot
PROPMOVER_TXT_100199,Furious Mr. Pumpkin,Capitaine Pumpkin
PROPMOVER_TXT_100200,Deviant Mr. Pumpkin,Géant Pumpkin
PROPMOVER_TXT_100201,Baby Winged Sheep,Bébé Mouton Ailé
PROPMOVER_TXT_100202,Teddy Bear,Peluche
PROPMOVER_TXT_100203,Kitty with Yellow Umbrella,Chaton Jaune au Parasol
PROPMOVER_TXT_100204,Kitty with Green Umbrella,Chaton Vert au Parasol
PROPMOVER_TXT_100205,Kitty with Pink Umbrella,Chaton Rose au Parasol
PROPMOVER_TXT_100206,Kitty with Purple Umbrella,Chaton Violet au Parasol
PROPMOVER_TXT_100207,Kitty with Beige Umbrella,Chaton Beige au Parasol
PROPMOVER_TXT_100208,Kitty with Grey Umbrella,Chaton Gris au Parasol
PROPMOVER_TXT_100209,Halloween Ghost,Fantôme d'Halloween
PROPMOVER_TXT_100210,Lord Big Muscle,Lord Musclor
PROPMOVER_TXT_100211,Lord Krrr,Lord Krrr
PROPMOVER_TXT_100212,Lord Mushmoot,Lord Mushmoot
PROPMOVER_TXT_100213,Lord Meteonyker,Lord Meteonyker
PROPMOVER_TXT_100214,Lord Red Meteonyker,Lord Meteonyker Rouge
PROPMOVER_TXT_100215,Lord Pumpkin,Lord Pumpkin
PROPMOVER_TXT_100216,Lord Lykanos,Lord Lykanos
PROPMOVER_TXT_100217,Lord Drakul,Lord Drakul
PROPMOVER_TXT_100219,Lord Ripper,Lord Ripper
PROPMOVER_TXT_100220,Lord Mia,Lord Mia
PROPMOVER_TXT_100221,Lord Iblis Leanes,Lord Ivilis Leanes
PROPMOVER_TXT_100222,Violet Halloween Puppet,Poupée d'Halloween Pourpre
PROPMOVER_TXT_100223,Orange Halloween Puppet,Poupée d'Halloween Orange
PROPMOVER_TXT_100224,Beige Halloween Puppet,Poupée d'Halloween Beige
PROPMOVER_TXT_100225,Pink Halloween Puppet,Poupée d'Halloween Rose
PROPMOVER_TXT_100226,Grey Halloween Puppet,Poupée d'Halloween Grise
PROPMOVER_TXT_100227,White Halloween Puppet,Poupée d'Halloween Blanche
PROPMOVER_TXT_100228,Sport Pop Red Tiger,Tigre Rouge Sport Pop
PROPMOVER_TXT_100229,Sport Pop Blue Tiger,Tigre Bleu Sport Pop
PROPMOVER_TXT_100230,Sport Pop Green Tiger,Tigre Vert Sport Pop
PROPMOVER_TXT_100231,Sport Pop Orange Tiger,Tigre Orange Sport Pop
PROPMOVER_TXT_100232,Sport Pop Pink Tiger,Tigre Rose Sport Pop
PROPMOVER_TXT_100233,Sport Pop Purple Tiger,Tigre Violet Sport Pop
PROPMOVER_TXT_100234,Purple Disco Poodle,Caniche Disco Violet
PROPMOVER_TXT_100235,Green Disco Poodle,Caniche Disco Vert
PROPMOVER_TXT_100236,Orange Disco Poodle,Caniche Disco Orange
PROPMOVER_TXT_100237,Pink Disco Poodle,Caniche Disco Rose
PROPMOVER_TXT_100238,Black Disco Poodle,Caniche Disco Noir
PROPMOVER_TXT_100239,Cyan Disco Poodle,Caniche Disco Cyan
PROPMOVER_TXT_100240,Nine Tails,Neuf-Queues
PROPMOVER_TXT_100241,Nero,Nero
PROPMOVER_TXT_100242,Thief Santa Monster,Monstre Père Noël Voleur
PROPMOVER_TXT_100243,Grumpy elf,Elfe grognon
PROPMOVER_TXT_100250,Blue Winter Pixie,Lutin Bleu d'Hiver
PROPMOVER_TXT_100251,Green Winter Pixie,Lutin Vert d'Hiver
PROPMOVER_TXT_100252,Purple Winter Pixie,Lutin Violet d'Hiver
PROPMOVER_TXT_100253,Cyan Winter Pixie,Lutin Cyan d'Hiver
PROPMOVER_TXT_100254,Black Winter Pixie,Lutin Noir d'Hiver
PROPMOVER_TXT_100255,White Winter Pixie,Lutin Blanc d'Hiver
PROPMOVER_TXT_100256,Fu Lion King,Roi Lion Fu
PROPMOVER_TXT_100257,Black Winter Tiger,Tigre Noir d'Hiver
PROPMOVER_TXT_100258,Pink Winter Tiger,Tigre Rose d'Hiver
PROPMOVER_TXT_100259,Green Winter Tiger ,Tigre Vert d'Hiver
PROPMOVER_TXT_100260,Purple Winter Tiger ,Tigre Violet d'Hiver
PROPMOVER_TXT_100261,Orange Winter Tiger ,Tigre Orange d'Hiver
PROPMOVER_TXT_100262,Cyan Winter Tiger ,Tigre Cyan d'Hiver
PROPMOVER_TXT_100263,Tonge,Tonge
PROPMOVER_TXT_100264,Fox,Renard
PROPMOVER_TXT_100265,Mermaid Beauty,Beauté Sirène
PROPMOVER_TXT_100266,Overgrown Shark,Requin Démesuré
PROPMOVER_TXT_100267,Grunt Gorilla,Gorille Grognon
PROPMOVER_TXT_100268,Overgrown Spider,Araignée Démesurée
PROPMOVER_TXT_100269,Temple Guardian,Gardien du Temple
PROPMOVER_TXT_100270,Sentient Tree Warrior,Guerrier de l'Arbre Sentient
PROPMOVER_TXT_100271,Old Rut,Vieille Ornière
PROPMOVER_TXT_100244,Skeletal Militant,Militant Squelette
PROPMOVER_TXT_100245,Crystal Demon Lord,Seigneur Démon de Cristal
PROPMOVER_TXT_100246,Great Kraken,Grand Kraken
PROPMOVER_TXT_100247,Siren,Sirène
PROPMOVER_TXT_100248,Lurking Merman,Homme de la Mer Rôdeur
PROPMOVER_TXT_100249,Cunning Merman,Homme de la Mer Rusé
PROPMOVER_TXT_001198,Great Catsy,Catsy Mutant
PROPMOVER_TXT_001200,Great Harpy,Hoppy Mutant
PROPMOVER_TXT_001202,Great Gullah,Polleburk Mutant
PROPMOVER_TXT_001204,Great Abraxas,Abraxas Mutant
PROPMOVER_TXT_001206,Great Hague,Hague Mutant
PROPMOVER_TXT_001208,Great Tengu,Tengu Mutant
