Key,English,French
ACHIEVEMENT_KILL_STEELKNIGHT_LVL5,Steel Knight Hunter,Full Metal Knight
ACHIEVEMENT_KILL_ZOMBIGER_LVL1,Zombiger Slayer 1,Tueur de Zombiger I
ACHIEVEMENT_KILL_ZOMBIGER_LVL2,Zombiger Slayer 2,Tueur de Zombiger II
ACHIEVEMENT_KILL_ZOMBIGER_LVL3,Zombiger Slayer 3,Tueur de Zombiger III
ACHIEVEMENT_KILL_ZOMBIGER_LVL4,Zombiger Slayer 4,Tueur de Zombiger IV
ACHIEVEMENT_KILL_ZOMBIGER_LVL5,Zombiger Hunter,Tueur de Zombiger I
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL1,Nuttywheel Slayer 1,Tueur de Nuttywheel I
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL2,Nuttywheel Slayer 2,Tueur de Nuttywheel II
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL3,Nuttywheel Slayer 3,Tueur de Nuttywheel III
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL4,Nuttywheel Slayer 4,Tueur de Nuttywheel IV
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL5,Nuttywheel Hunter,Inarrêtable
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL1,Nuctuvehicle Slayer 1,Tueur de Nuctuhicle I
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL2,Nuctuvehicle Slayer 2,Tueur de Nuctuhicle II
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL3,Nuctuvehicle Slayer 3,Tueur de Nuctuhicle III
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL4,Nuctuvehicle Slayer 4,Tueur de Nuctuhicle IV
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL5,Nuctuvehicle Hunter,Cauchemar à roulettes
ACHIEVEMENT_KILL_DRILLER_LVL1,Driller Slayer 1,Tueur de Driller I
ACHIEVEMENT_KILL_DRILLER_LVL2,Driller Slayer 2,Tueur de Driller II
ACHIEVEMENT_KILL_DRILLER_LVL3,Driller Slayer 3,Tueur de Driller III
ACHIEVEMENT_KILL_DRILLER_LVL4,Driller Slayer 4,Tueur de Driller IV
ACHIEVEMENT_KILL_DRILLER_LVL5,Driller Hunter,Bricoleur
ACHIEVEMENT_KILL_RISEM_LVL1,Risem Slayer 1,Tueur de Risem I
ACHIEVEMENT_KILL_RISEM_LVL2,Risem Slayer 2,Tueur de Risem II
ACHIEVEMENT_KILL_RISEM_LVL3,Risem Slayer 3,Tueur de Risem III
ACHIEVEMENT_KILL_RISEM_LVL4,Risem Slayer 4,Tueur de Risem IV
ACHIEVEMENT_KILL_RISEM_LVL5,Risem Hunter,Mythique
ACHIEVEMENT_KILL_GRRR_LVL1,Grrr Slayer 1,Tueur de Grrr I
ACHIEVEMENT_KILL_GRRR_LVL2,Grrr Slayer 2,Tueur de Grrr II
ACHIEVEMENT_KILL_GRRR_LVL3,Grrr Slayer 3,Tueur de Grrr III
ACHIEVEMENT_KILL_GRRR_LVL4,Grrr Slayer 4,Tueur de Grrr IV
ACHIEVEMENT_KILL_GRRR_LVL5,Grrr Hunter,Troll
ACHIEVEMENT_KILL_VOLT_LVL1,Volt Slayer 1,Tueur de Volt I
ACHIEVEMENT_KILL_VOLT_LVL2,Volt Slayer 2,Tueur de Volt II
ACHIEVEMENT_KILL_VOLT_LVL3,Volt Slayer 3,Tueur de Volt III
ACHIEVEMENT_KILL_VOLT_LVL4,Volt Slayer 4,Tueur de Volt IV
ACHIEVEMENT_KILL_VOLT_LVL5,Volt Hunter,Surchargé
ACHIEVEMENT_KILL_ELDERGUARD_LVL1,Elderguard Slayer 1,Tueur d'Eldergard I
ACHIEVEMENT_KILL_ELDERGUARD_LVL2,Elderguard Slayer 2,Tueur d'Eldergard II
ACHIEVEMENT_KILL_ELDERGUARD_LVL3,Elderguard Slayer 3,Tueur d'Eldergard III
ACHIEVEMENT_KILL_ELDERGUARD_LVL4,Elderguard Slayer 4,Tueur d'Eldergard IV
ACHIEVEMENT_KILL_ELDERGUARD_LVL5,Elderguard Hunter,Gardien
ACHIEVEMENT_KILL_DUMP_LVL1,Dump Slayer 1,Tueur de Dump I
ACHIEVEMENT_KILL_DUMP_LVL2,Dump Slayer 2,Tueur de Dump II
ACHIEVEMENT_KILL_DUMP_LVL3,Dump Slayer 3,Tueur de Dump III
ACHIEVEMENT_KILL_DUMP_LVL4,Dump Slayer 4,Tueur de Dump IV
ACHIEVEMENT_KILL_DUMP_LVL5,Dump Hunter,Roi de l'asphalte
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL1,Garbagespider Slayer 1,Tueur de Garbagespider I
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL2,Garbagespider Slayer 2,Tueur de Garbagespider II
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL3,Garbagespider Slayer 3,Tueur de Garbagespider III
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL4,Garbagespider Slayer 4,Tueur de Garbagespider IV
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL5,Garbagespider Hunter,Vide-poubelles
ACHIEVEMENT_KILL_ZENMA_LVL1,Zenma Slayer 1,Tueur de Zenma I
ACHIEVEMENT_KILL_ZENMA_LVL2,Zenma Slayer 2,Tueur de Zenma II
ACHIEVEMENT_KILL_ZENMA_LVL3,Zenma Slayer 3,Tueur de Zenma III
ACHIEVEMENT_KILL_ZENMA_LVL4,Zenma Slayer 4,Tueur de Zenma IV
ACHIEVEMENT_KILL_ZENMA_LVL5,Zenma Hunter,Punk
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL1,Crane Machinery Slayer 1,Tueur de Cranechinery I
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL2,Crane Machinery Slayer 2,Tueur de Cranechinery II
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL3,Crane Machinery Slayer 3,Tueur de Cranechinery III
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL4,Crane Machinery Slayer 4,Tueur de Cranechinery IV
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL5,Crane Machinery Hunter,Démolisseur
ACHIEVEMENT_KILL_NAUTREPY_LVL1,Nautrepy Slayer 1,Tueur de Nautrepy I
ACHIEVEMENT_KILL_NAUTREPY_LVL2,Nautrepy Slayer 2,Tueur de Nautrepy II
ACHIEVEMENT_KILL_NAUTREPY_LVL3,Nautrepy Slayer 3,Tueur de Nautrepy III
ACHIEVEMENT_KILL_NAUTREPY_LVL4,Nautrepy Slayer 4,Tueur de Nautrepy IV
ACHIEVEMENT_KILL_NAUTREPY_LVL5,Nautrepy Hunter,Téma la taille du rat
ACHIEVEMENT_KILL_SYLIACA_LVL1,Syliaca Slayer 1,Tueur de Syliaca I
ACHIEVEMENT_KILL_SYLIACA_LVL2,Syliaca Slayer 2,Tueur de Syliaca II
ACHIEVEMENT_KILL_SYLIACA_LVL3,Syliaca Slayer 3,Tueur de Syliaca III
ACHIEVEMENT_KILL_SYLIACA_LVL4,Syliaca Slayer 4,Tueur de Syliaca IV
ACHIEVEMENT_KILL_SYLIACA_LVL5,Syliaca Hunter,Poséïdon
ACHIEVEMENT_KILL_GREEMONG_LVL1,Greemong Slayer 1,Tueur de Greemong I
ACHIEVEMENT_KILL_GREEMONG_LVL2,Greemong Slayer 2,Tueur de Greemong II
ACHIEVEMENT_KILL_GREEMONG_LVL3,Greemong Slayer 3,Tueur de Greemong III
ACHIEVEMENT_KILL_GREEMONG_LVL4,Greemong Slayer 4,Tueur de Greemong IV
ACHIEVEMENT_KILL_GREEMONG_LVL5,Greemong Hunter,Répugnant
ACHIEVEMENT_KILL_BOO_LVL1,Boo Slayer 1,Tueur de Boo I
ACHIEVEMENT_KILL_BOO_LVL2,Boo Slayer 2,Tueur de Boo II
ACHIEVEMENT_KILL_BOO_LVL3,Boo Slayer 3,Tueur de Boo III
ACHIEVEMENT_KILL_BOO_LVL4,Boo Slayer 4,Tueur de Boo IV
ACHIEVEMENT_KILL_BOO_LVL5,Boo Hunter,Mandragore
ACHIEVEMENT_KILL_CARRIERBOMB_LVL1,Carrierbomb Slayer 1,Tueur de Caboom I
ACHIEVEMENT_KILL_CARRIERBOMB_LVL2,Carrierbomb Slayer 2,Tueur de Caboom II
ACHIEVEMENT_KILL_CARRIERBOMB_LVL3,Carrierbomb Slayer 3,Tueur de Caboom III
ACHIEVEMENT_KILL_CARRIERBOMB_LVL4,Carrierbomb Slayer 4,Tueur de Caboom IV
ACHIEVEMENT_KILL_CARRIERBOMB_LVL5,Carrierbomb Hunter,Bombe à retardement
ACHIEVEMENT_KILL_LONGWANG_LVL1,Longwing Slayer 1,Tueur de Longwing I
ACHIEVEMENT_KILL_LONGWANG_LVL2,Longwing Slayer 2,Tueur de Longwing II
ACHIEVEMENT_KILL_LONGWANG_LVL3,Longwing Slayer 3,Tueur de Longwing III
ACHIEVEMENT_KILL_LONGWANG_LVL4,Longwing Slayer 4,Tueur de Longwing IV
ACHIEVEMENT_KILL_LONGWANG_LVL5,Longwing Hunter,Diabolique
ACHIEVEMENT_KILL_HOPPRE_LVL1,Hoppre Slayer 1,Tueur d'Hoppre I
ACHIEVEMENT_KILL_HOPPRE_LVL2,Hoppre Slayer 2,Tueur d'Hoppre II
ACHIEVEMENT_KILL_HOPPRE_LVL3,Hoppre Slayer 3,Tueur d'Hoppre III
ACHIEVEMENT_KILL_HOPPRE_LVL4,Hoppre Slayer 4,Tueur d'Hoppre IV
ACHIEVEMENT_KILL_HOPPRE_LVL5,Hoppre Hunter,Suceur de sang
ACHIEVEMENT_KILL_MUSHPOIE_LVL1,Mushpoie Slayer 1,Tueur de Mushpoie I
ACHIEVEMENT_KILL_MUSHPOIE_LVL2,Mushpoie Slayer 2,Tueur de Mushpoie II
ACHIEVEMENT_KILL_MUSHPOIE_LVL3,Mushpoie Slayer 3,Tueur de Mushpoie III
ACHIEVEMENT_KILL_MUSHPOIE_LVL4,Mushpoie Slayer 4,Tueur de Mushpoie IV
ACHIEVEMENT_KILL_MUSHPOIE_LVL5,Mushpoie Hunter,Super végan
ACHIEVEMENT_KILL_IREN_LVL1,Iren Slayer 1,Tueur d'Iren I
ACHIEVEMENT_KILL_IREN_LVL2,Iren Slayer 2,Tueur d'Iren II
ACHIEVEMENT_KILL_IREN_LVL3,Iren Slayer 3,Tueur d'Iren III
ACHIEVEMENT_KILL_IREN_LVL4,Iren Slayer 4,Tueur d'Iren IV
ACHIEVEMENT_KILL_IREN_LVL5,Iren Hunter,Succube
ACHIEVEMENT_KILL_WATANGKA_LVL1,Watangka Slayer 1,Tueur de Watangka I
ACHIEVEMENT_KILL_WATANGKA_LVL2,Watangka Slayer 2,Tueur de Watangka II
ACHIEVEMENT_KILL_WATANGKA_LVL3,Watangka Slayer 3,Tueur de Watangka III
ACHIEVEMENT_KILL_WATANGKA_LVL4,Watangka Slayer 4,Tueur de Watangka IV
ACHIEVEMENT_KILL_WATANGKA_LVL5,Watangka Hunter,Chamane
ACHIEVEMENT_KILL_FAFNIR_LVL1,Fafnir Slayer 1,Tueur de Fafnir I
ACHIEVEMENT_KILL_FAFNIR_LVL2,Fafnir Slayer 2,Tueur de Fafnir II
ACHIEVEMENT_KILL_FAFNIR_LVL3,Fafnir Slayer 3,Tueur de Fafnir III
ACHIEVEMENT_KILL_FAFNIR_LVL4,Fafnir Slayer 4,Tueur de Fafnir IV
ACHIEVEMENT_KILL_FAFNIR_LVL5,Fafnir Hunter,Dragonnet
ACHIEVEMENT_KILL_ANTIQUERY_LVL1,Antiquery Slayer 1,Tueur de Tréant I
ACHIEVEMENT_KILL_ANTIQUERY_LVL2,Antiquery Slayer 2,Tueur de Tréant II
ACHIEVEMENT_KILL_ANTIQUERY_LVL3,Antiquery Slayer 3,Tueur de Tréant III
ACHIEVEMENT_KILL_ANTIQUERY_LVL4,Antiquery Slayer 4,Tueur de Tréant IV
ACHIEVEMENT_KILL_ANTIQUERY_LVL5,Antiquery Hunter,Ancien
ACHIEVEMENT_KILL_LUIA_LVL1,Luia Slayer 1,Tueur de Luia I
ACHIEVEMENT_KILL_LUIA_LVL2,Luia Slayer 2,Tueur de Luia II
ACHIEVEMENT_KILL_LUIA_LVL3,Luia Slayer 3,Tueur de Luia III
ACHIEVEMENT_KILL_LUIA_LVL4,Luia Slayer 4,Tueur de Luia IV
ACHIEVEMENT_KILL_LUIA_LVL5,Luia Hunter,Phénix
ACHIEVEMENT_KILL_GONGURY_LVL1,Gongury Slayer 1,Tueur de Gongury I
ACHIEVEMENT_KILL_GONGURY_LVL2,Gongury Slayer 2,Tueur de Gongury II
ACHIEVEMENT_KILL_GONGURY_LVL3,Gongury Slayer 3,Tueur de Gongury III
ACHIEVEMENT_KILL_GONGURY_LVL4,Gongury Slayer 4,Tueur de Gongury IV
ACHIEVEMENT_KILL_GONGURY_LVL5,Gongury Hunter,Full Metal
ACHIEVEMENT_KILL_SHUHAMMA_LVL1,Shuhamma Slayer 1,Tueur de Shuhamma I
ACHIEVEMENT_KILL_SHUHAMMA_LVL2,Shuhamma Slayer 2,Tueur de Shuhamma II
ACHIEVEMENT_KILL_SHUHAMMA_LVL3,Shuhamma Slayer 3,Tueur de Shuhamma III
ACHIEVEMENT_KILL_SHUHAMMA_LVL4,Shuhamma Slayer 4,Tueur de Shuhamma IV
ACHIEVEMENT_KILL_SHUHAMMA_LVL5,Shuhamma Hunter,Terraformeur
ACHIEVEMENT_KILL_KERN_LVL1,Kern Slayer 1,Tueur de Kern I
ACHIEVEMENT_KILL_KERN_LVL2,Kern Slayer 2,Tueur de Kern II
ACHIEVEMENT_KILL_KERN_LVL3,Kern Slayer 3,Tueur de Kern III
ACHIEVEMENT_KILL_KERN_LVL4,Kern Slayer 4,Tueur de Kern IV
ACHIEVEMENT_KILL_KERN_LVL5,Kern Hunter,Héphaïstos
ACHIEVEMENT_KILL_GORRUDA_LVL1,Gorruda Slayer 1,Tueur de Gorruda I
ACHIEVEMENT_KILL_GORRUDA_LVL2,Gorruda Slayer 2,Tueur de Gorruda II
ACHIEVEMENT_KILL_GORRUDA_LVL3,Gorruda Slayer 3,Tueur de Gorruda III
ACHIEVEMENT_KILL_GORRUDA_LVL4,Gorruda Slayer 4,Tueur de Gorruda IV
ACHIEVEMENT_KILL_GORRUDA_LVL5,Gorruda Hunter,Wyvern
ACHIEVEMENT_KILL_GLAPHAN_LVL1,Glaphan Slayer 1,Tueur de Glaphan I
ACHIEVEMENT_KILL_GLAPHAN_LVL2,Glaphan Slayer 2,Tueur de Glaphan II
ACHIEVEMENT_KILL_GLAPHAN_LVL3,Glaphan Slayer 3,Tueur de Glaphan III
ACHIEVEMENT_KILL_GLAPHAN_LVL4,Glaphan Slayer 4,Tueur de Glaphan IV
ACHIEVEMENT_KILL_GLAPHAN_LVL5,Glaphan Hunter,Exorciste
ACHIEVEMENT_KILL_KIMERADON_LVL1,Chimeradon Slayer 1,Tueur de Kimeradon I
ACHIEVEMENT_KILL_KIMERADON_LVL2,Chimeradon Slayer 2,Tueur de Kimeradon II
ACHIEVEMENT_KILL_KIMERADON_LVL3,Chimeradon Slayer 3,Tueur de Kimeradon III
ACHIEVEMENT_KILL_KIMERADON_LVL4,Chimeradon Slayer 4,Tueur de Kimeradon IV
ACHIEVEMENT_KILL_KIMERADON_LVL5,Chimeradon Hunter,Roi chimère
ACHIEVEMENT_KILL_BEARNUCKY_LVL1,Bearnerky Slayer 1,Tueur de Bearnerky I
ACHIEVEMENT_KILL_BEARNUCKY_LVL2,Bearnerky Slayer 2,Tueur de Bearnerky II
ACHIEVEMENT_KILL_BEARNUCKY_LVL3,Bearnerky Slayer 3,Tueur de Bearnerky III
ACHIEVEMENT_KILL_BEARNUCKY_LVL4,Bearnerky Slayer 4,Tueur de Bearnerky IV
ACHIEVEMENT_KILL_BEARNUCKY_LVL5,Bearnerky Hunter,Câlin
ACHIEVEMENT_KILL_MUFFRIN_LVL1,Muffrin Slayer 1,Tueur de Muffrin I
ACHIEVEMENT_KILL_MUFFRIN_LVL2,Muffrin Slayer 2,Tueur de Muffrin II
ACHIEVEMENT_KILL_MUFFRIN_LVL3,Muffrin Slayer 3,Tueur de Muffrin III
ACHIEVEMENT_KILL_MUFFRIN_LVL4,Muffrin Slayer 4,Tueur de Muffrin IV
ACHIEVEMENT_KILL_MUFFRIN_LVL5,Muffrin Hunter,Souperman
ACHIEVEMENT_KILL_POPCRANK_LVL1,Popcrank Slayer 1,Tueur de Joker I
ACHIEVEMENT_KILL_POPCRANK_LVL2,Popcrank Slayer 2,Tueur de Joker II
ACHIEVEMENT_KILL_POPCRANK_LVL3,Popcrank Slayer 3,Tueur de Joker III
ACHIEVEMENT_KILL_POPCRANK_LVL4,Popcrank Slayer 4,Tueur de Joker IV
ACHIEVEMENT_KILL_POPCRANK_LVL5,Popcrank Hunter,Cauchemar
ACHIEVEMENT_KILL_CLOCKWORKS_LVL1,Clockworks Hunter 1,Tueur de Clockworks I
ACHIEVEMENT_KILL_CLOCKWORKS_LVL2,Clockworks Hunter 2,Tueur de Clockworks II
ACHIEVEMENT_KILL_CLOCKWORKS_LVL3,Clockworks Hunter 3,Tueur de Clockworks III
ACHIEVEMENT_KILL_CLOCKWORKS_LVL4,Clockworks Hunter 4,Tueur de Clockworks IV
ACHIEVEMENT_KILL_CLOCKWORKS_LVL5,Clockworks Killer,Maître du temps
ACHIEVEMENT_KILL_METEONYKER_LVL1,Meteonyker Hunter 1,Tueur de Meteonyker I
ACHIEVEMENT_KILL_METEONYKER_LVL2,Meteonyker Hunter 2,Tueur de Meteonyker II
ACHIEVEMENT_KILL_METEONYKER_LVL3,Meteonyker Hunter 3,Tueur de Meteonyker III
ACHIEVEMENT_KILL_METEONYKER_LVL4,Meteonyker Hunter 4,Tueur de Meteonyker IV
ACHIEVEMENT_KILL_METEONYKER_LVL5,Meteonyker Killer,Chasseur de dragons
ACHIEVEMENT_KILL_MEDUMET_LVL1,Medumet Slayer 1,Tueur de Medumet I
ACHIEVEMENT_KILL_MEDUMET_LVL2,Medumet Slayer 2,Tueur de Medumet II
ACHIEVEMENT_KILL_MEDUMET_LVL3,Medumet Slayer 3,Tueur de Medumet III
ACHIEVEMENT_KILL_MEDUMET_LVL4,Medumet Slayer 4,Tueur de Medumet IV
ACHIEVEMENT_KILL_MEDUMET_LVL5,Medumet Hunter,Bot
ACHIEVEMENT_KILL_YETTI_LVL1,Yetti Slayer 1,Tueur de Yéti I
ACHIEVEMENT_KILL_YETTI_LVL2,Yetti Slayer 2,Tueur de Yéti II
ACHIEVEMENT_KILL_YETTI_LVL3,Yetti Slayer 3,Tueur de Yéti III
ACHIEVEMENT_KILL_YETTI_LVL4,Yetti Slayer 4,Tueur de Yéti IV
ACHIEVEMENT_KILL_YETTI_LVL5,Yetti Hunter,Bigfoot
ACHIEVEMENT_KILL_AUGU_LVL1,Augu Slayer 1,Tueur d'Augu I
ACHIEVEMENT_KILL_AUGU_LVL2,Augu Slayer 2,Tueur d'Augu II
ACHIEVEMENT_KILL_AUGU_LVL3,Augu Slayer 3,Tueur d'Augu III
ACHIEVEMENT_KILL_AUGU_LVL4,Augu Slayer 4,Tueur d'Augu IV
ACHIEVEMENT_KILL_AUGU_LVL5,Augu Hunter,Chef de Sushi
ACHIEVEMENT_KILL_GHOSTKING_LVL1,Ghost King Slayer 1,Tueur de Roi Fantôme I
ACHIEVEMENT_KILL_GHOSTKING_LVL2,Ghost King Slayer 2,Tueur de Roi Fantôme II
ACHIEVEMENT_KILL_GHOSTKING_LVL3,Ghost King Slayer 3,Tueur de Roi Fantôme III
ACHIEVEMENT_KILL_GHOSTKING_LVL4,Ghost King Slayer 4,Tueur de Roi Fantôme IV
ACHIEVEMENT_KILL_GHOSTKING_LVL5,Ghost King Hunter,Faucheuse
ACHIEVEMENT_KILL_MAMMOTH_LVL1,Mammoth Slayer 1,Tueur de Mammouth I
ACHIEVEMENT_KILL_MAMMOTH_LVL2,Mammoth Slayer 2,Tueur de Mammouth II
ACHIEVEMENT_KILL_MAMMOTH_LVL3,Mammoth Slayer 3,Tueur de Mammouth III
ACHIEVEMENT_KILL_MAMMOTH_LVL4,Mammoth Slayer 4,Tueur de Mammouth IV
ACHIEVEMENT_KILL_MAMMOTH_LVL5,Mammoth Hunter,Furie préhistorique
ACHIEVEMENT_KILL_ATROX_LVL1,Atrox Slayer 1,Tueur d'Artrox I
ACHIEVEMENT_KILL_ATROX_LVL2,Atrox Slayer 2,Tueur d'Artrox II
ACHIEVEMENT_KILL_ATROX_LVL3,Atrox Slayer 3,Tueur d'Artrox III
ACHIEVEMENT_KILL_ATROX_LVL4,Atrox Slayer 4,Tueur d'Artrox IV
ACHIEVEMENT_KILL_ATROX_LVL5,Atrox Hunter,Insecticide
ACHIEVEMENT_KILL_TIGAR_LVL1,Tigar Slayer 1,Tueur de Taiga I
ACHIEVEMENT_KILL_TIGAR_LVL2,Tigar Slayer 2,Tueur de Taiga II
ACHIEVEMENT_KILL_TIGAR_LVL3,Tigar Slayer 3,Tueur de Taiga III
ACHIEVEMENT_KILL_TIGAR_LVL4,Tigar Slayer 4,Tueur de Taiga IV
ACHIEVEMENT_KILL_TIGAR_LVL5,Tigar Hunter,Minou Minou
ACHIEVEMENT_KILL_MERAL_LVL1,Meral Slayer 1,Tueur de Merel I
ACHIEVEMENT_KILL_MERAL_LVL2,Meral Slayer 2,Tueur de Merel II
ACHIEVEMENT_KILL_MERAL_LVL3,Meral Slayer 3,Tueur de Merel III
ACHIEVEMENT_KILL_MERAL_LVL4,Meral Slayer 4,Tueur de Merel IV
ACHIEVEMENT_KILL_MERAL_LVL5,Meral Hunter,Chasseur Merel
ACHIEVEMENT_KILL_KINGSTER_LVL1,Kingster Slayer 1,Tueur de Langoustroy I
ACHIEVEMENT_KILL_KINGSTER_LVL2,Kingster Slayer 2,Tueur de Langoustroy II
ACHIEVEMENT_KILL_KINGSTER_LVL3,Kingster Slayer 3,Tueur de Langoustroy III
ACHIEVEMENT_KILL_KINGSTER_LVL4,Kingster Slayer 4,Tueur de Langoustroy IV
ACHIEVEMENT_KILL_KINGSTER_LVL5,Kingster Hunter,Chasseur Langoustroy
ACHIEVEMENT_KILL_CREPER_LVL1,Creper Slayer 1,Tueur de Pincedure I
ACHIEVEMENT_KILL_CREPER_LVL2,Creper Slayer 2,Tueur de Pincedure II
ACHIEVEMENT_KILL_CREPER_LVL3,Creper Slayer 3,Tueur de Pincedure III
ACHIEVEMENT_KILL_CREPER_LVL4,Creper Slayer 4,Tueur de Pincedure IV
ACHIEVEMENT_KILL_CREPER_LVL5,Creper Hunter,Chasseur Pincedure
ACHIEVEMENT_KILL_NAGA_LVL1,Naga Slayer 1,Tueur de Nagaro I
ACHIEVEMENT_KILL_NAGA_LVL2,Naga Slayer 2,Tueur de Nagaro II
ACHIEVEMENT_KILL_NAGA_LVL3,Naga Slayer 3,Tueur de Nagaro III
ACHIEVEMENT_KILL_NAGA_LVL4,Naga Slayer 4,Tueur de Nagaro IV
ACHIEVEMENT_KILL_NAGA_LVL5,Naga Hunter,Brouet de Nagaro
ACHIEVEMENT_KILL_DORIAN_LVL1,Dorian Slayer 1,Tueur de Dorian I
ACHIEVEMENT_KILL_DORIAN_LVL2,Dorian Slayer 2,Tueur de Dorian II
ACHIEVEMENT_KILL_DORIAN_LVL3,Dorian Slayer 3,Tueur de Dorian III
ACHIEVEMENT_KILL_DORIAN_LVL4,Dorian Slayer 4,Tueur de Dorian IV
ACHIEVEMENT_KILL_DORIAN_LVL5,Dorian Hunter,Chasseur Dorian
ACHIEVEMENT_KILL_OKEAN_LVL1,Okean Slayer 1,Tueur d'Okéan I
ACHIEVEMENT_KILL_OKEAN_LVL2,Okean Slayer 2,Tueur d'Okéan II
ACHIEVEMENT_KILL_OKEAN_LVL3,Okean Slayer 3,Tueur d'Okéan III
ACHIEVEMENT_KILL_OKEAN_LVL4,Okean Slayer 4,Tueur d'Okéan IV
ACHIEVEMENT_KILL_OKEAN_LVL5,Okean Hunter,Chasseur Okéan
ACHIEVEMENT_KILL_KRAKEN_LVL1,Kraken Slayer 1,Tueur de Craken I
ACHIEVEMENT_KILL_KRAKEN_LVL2,Kraken Slayer 2,Tueur de Craken II
ACHIEVEMENT_KILL_KRAKEN_LVL3,Kraken Slayer 3,Tueur de Craken III
ACHIEVEMENT_KILL_KRAKEN_LVL4,Kraken Slayer 4,Tueur de Craken IV
ACHIEVEMENT_KILL_KRAKEN_LVL5,Kraken Hunter,Chasseur de Craken
ACHIEVEMENT_KILL_DREADFIN_LVL1,Dreadfin Slayer 1,Tueur de Dreadfin 1
ACHIEVEMENT_KILL_DREADFIN_LVL2,Dreadfin Slayer 2,Tueur de Dreadfin 2
ACHIEVEMENT_KILL_DREADFIN_LVL3,Dreadfin Slayer 3,Tueur de Dreadfin 3
ACHIEVEMENT_KILL_DREADFIN_LVL4,Dreadfin Slayer 4,Tueur de Dreadfin 4
ACHIEVEMENT_KILL_DREADFIN_LVL5,Dreadfin Hunter,Encas de la mer
ACHIEVEMENT_KILL_DREADSCALE_LVL1,Dreadscale Slayer 1,Tueur de Dreadscale 1
ACHIEVEMENT_KILL_DREADSCALE_LVL2,Dreadscale Slayer 2,Tueur de Dreadscale 2
ACHIEVEMENT_KILL_DREADSCALE_LVL3,Dreadscale Slayer 3,Tueur de Dreadscale 3
ACHIEVEMENT_KILL_DREADSCALE_LVL4,Dreadscale Slayer 4,Tueur de Dreadscale 4
ACHIEVEMENT_KILL_DREADSCALE_LVL5,Dreadscale Hunter,Sluuurp
ACHIEVEMENT_KILL_LUMINFIN_LVL1,Luminfin Slayer 1,Tueur de Luminfin 1
ACHIEVEMENT_KILL_LUMINFIN_LVL2,Luminfin Slayer 2,Tueur de Luminfin 2
ACHIEVEMENT_KILL_LUMINFIN_LVL3,Luminfin Slayer 3,Tueur de Luminfin 3
ACHIEVEMENT_KILL_LUMINFIN_LVL4,Luminfin Slayer 4,Tueur de Luminfin 4
ACHIEVEMENT_KILL_LUMINFIN_LVL5,Luminfin Hunter,Lumos
ACHIEVEMENT_KILL_PUPPETWOLF_LVL1,Hundur Sharpfoot Slayer 1,Tueur de Lawolf des Plaines 1
ACHIEVEMENT_KILL_PUPPETWOLF_LVL2,Hundur Sharpfoot Slayer 2,Tueur de Lawolf des Plaines 2
ACHIEVEMENT_KILL_PUPPETWOLF_LVL3,Hundur Sharpfoot Slayer 3,Tueur de Lawolf des Plaines 3
ACHIEVEMENT_KILL_PUPPETWOLF_LVL4,Hundur Sharpfoot Slayer 4,Tueur de Lawolf des Plaines 4
ACHIEVEMENT_KILL_PUPPETWOLF_LVL5,Hundur Sharpfoot Hunter,Tueur aux lames acérées
ACHIEVEMENT_KILL_RYSENTRY_LVL1,Samoset Slayer 1,Tueur de Sentinelle Lycan 1
ACHIEVEMENT_KILL_RYSENTRY_LVL2,Samoset Slayer 2,Tueur de Sentinelle Lycan 2
ACHIEVEMENT_KILL_RYSENTRY_LVL3,Samoset Slayer 3,Tueur de Sentinelle Lycan 3
ACHIEVEMENT_KILL_RYSENTRY_LVL4,Samoset Slayer 4,Tueur de Sentinelle Lycan 4
ACHIEVEMENT_KILL_RYSENTRY_LVL5,Samoset Hunter,Marcheur d’écho
ACHIEVEMENT_KILL_RYGUARD_LVL1,Kyouchish Slayer 1,Tueur de Garde Lycan 1
ACHIEVEMENT_KILL_RYGUARD_LVL2,Kyouchish Slayer 2,Tueur de Garde Lycan 2
ACHIEVEMENT_KILL_RYGUARD_LVL3,Kyouchish Slayer 3,Tueur de Garde Lycan 3
ACHIEVEMENT_KILL_RYGUARD_LVL4,Kyouchish Slayer 4,Tueur de Garde Lycan 4
